id_hh,wgt09,comm,urban,regurb
1083000908,994.912231445313,1080009,0,10
1083000909,955.469604492188,1080009,0,10
1083000910,1192.955078125,1080009,0,10
1083001302,1019.814453125,1080013,0,10
1083001303,1057.89221191406,1080013,0,10
1083001304,2909.20385742188,1080013,0,10
1083001305,1966.55114746094,1080013,0,10
1083001306,1320.83520507813,1080013,0,10
1083001307,1506.41369628906,1080013,0,10
1083001309,1153.07080078125,1080013,0,10
1083001310,1320.83520507813,1080013,0,10
1083001311,2641.67041015625,1080013,0,10
1083001603,1483.97900390625,1080016,0,10
1083001604,1295.49304199219,1080016,0,10
1083001606,2594.62939453125,1080016,0,10
1083001608,1369.32092285156,1080016,0,10
1083001610,2594.62939453125,1080016,0,10
1083001611,1295.49304199219,1080016,0,10
1083001612,2967.9580078125,1080016,0,10
1083001613,1692.4794921875,1080016,0,10
1083002001,2040.45495605469,1080020,0,10
1083002003,1076.85424804688,1080020,0,10
1083002004,1167.02294921875,1080020,0,10
1083002006,868.7724609375,1080020,0,10
1083002007,1330.99084472656,1080020,0,10
1083002008,1802.11291503906,1080020,0,10
1083002009,3303.87377929688,1080020,0,10
1083002010,1330.99084472656,1080020,0,10
1083002301,1326.45178222656,1080023,0,10
1083002302,3979.35522460938,1080023,0,10
1083002304,5198.77490234375,1080023,0,10
1083002305,2534.39794921875,1080023,0,10
1083002306,1267.19897460938,1080023,0,10
1083002307,1216.96179199219,1080023,0,10
1083002309,3038.8837890625,1080023,0,10
1083002701,935.555480957031,1080027,0,10
1083002702,1772.71789550781,1080027,0,10
1083002704,1156.345703125,1080027,0,10
1083002705,1624.10791015625,1080027,0,10
1083002707,2312.69140625,1080027,0,10
1083002708,754.777038574219,1080027,0,10
1083002709,2655.34301757813,1080027,0,10
1083002710,935.555480957031,1080027,0,10
1083003002,870.811157226563,1080030,0,10
1083003006,870.811157226563,1080030,0,10
1083003007,1995.01708984375,1080030,0,10
1083003008,770.174621582031,1080030,0,10
1083003009,870.811157226563,1080030,0,10
1083003010,798.931335449219,1080030,0,10
1083003301,8077.8681640625,1080033,0,10
1083003302,2151.75512695313,1080033,0,10
1083003303,2479.005859375,1080033,0,10
1083003306,4690.69677734375,1080033,0,10
1083003307,3064.048828125,1080033,0,10
1083003308,8077.8681640625,1080033,0,10
1083003309,3064.048828125,1080033,0,10
