id_hh,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5
1021001205,102100120512,1,5,12,3,16,8,2
1021001205,102100120513,0,3,2,NA,16,8,2
1021001205,102100120514,1,5,NA,NA,16,8,2
1021001205,102100120515,1,5,NA,NA,16,8,2
1021001205,102100120516,1,4,NA,NA,16,8,2
1021001206,102100120601,0,1,41,2,3,2,0
1021001206,102100120602,1,3,10,3,3,2,0
1021001206,102100120603,0,3,7,NA,3,2,0
1021001208,102100120801,1,1,45,1,7,4,2
1021001208,102100120802,0,2,43,1,7,4,2
1021001208,102100120803,0,5,17,2,7,4,2
1021001208,102100120804,0,4,8,NA,7,4,2
1021001208,102100120805,1,4,6,NA,7,4,2
1021001208,102100120806,0,4,4,NA,7,4,2
1021001208,102100120807,1,5,0,NA,7,4,2
1021001210,102100121001,1,1,34,1,5,3,1
1021001210,102100121002,0,2,30,1,5,3,1
1021001210,102100121003,1,3,11,3,5,3,1
1021001210,102100121004,0,3,1,NA,5,3,1
1021001210,102100121005,0,5,11,3,5,3,1
1021001211,102100121101,1,1,25,1,2,0,0
1021001211,102100121102,0,2,19,1,2,0,0
1021001301,102100130101,0,1,26,3,4,0,0
1021001301,102100130102,1,5,28,3,4,0,0
1021001301,102100130103,1,5,27,3,4,0,0
1021001301,102100130104,0,5,38,2,4,0,0
1021001302,102100130201,0,1,44,2,5,0,0
1021001302,102100130202,0,5,21,3,5,0,0
1021001302,102100130203,1,3,25,3,5,0,0
1021001302,102100130204,0,3,23,3,5,0,0
1021001302,102100130205,0,3,17,3,5,0,0
1021001304,102100130401,1,1,36,1,9,6,3
1021001304,102100130402,0,2,30,1,9,6,3
1021001304,102100130403,0,3,15,3,9,6,3
1021001304,102100130404,1,3,13,3,9,6,3
1021001304,102100130405,1,3,12,3,9,6,3
1021001304,102100130406,0,3,9,NA,9,6,3
1021001304,102100130407,1,3,4,NA,9,6,3
1021001304,102100130408,0,3,2,NA,9,6,3
1021001304,102100130409,1,3,0,NA,9,6,3
1021001305,102100130501,1,1,27,3,3,0,0
1021001305,102100130502,1,5,25,3,3,0,0
1021001305,102100130503,1,5,30,1,3,0,0
1021001306,102100130601,1,1,46,1,5,1,0
1021001306,102100130602,0,3,22,3,5,1,0
1021001306,102100130603,0,3,20,3,5,1,0
1021001306,102100130604,1,3,16,3,5,1,0
1021001306,102100130605,0,3,6,NA,5,1,0
1021001307,102100130701,0,1,38,2,7,3,1
1021001307,102100130702,0,3,20,3,7,3,1
1021001307,102100130703,0,3,16,3,7,3,1
1021001307,102100130704,0,3,14,3,7,3,1
1021001307,102100130705,1,3,7,NA,7,3,1
1021001307,102100130706,0,3,4,NA,7,3,1
1021001307,102100130707,0,5,20,3,7,3,1
1021001308,102100130801,1,1,36,1,2,0,0
1021001308,102100130802,0,2,29,1,2,0,0
1021001309,102100130901,0,1,55,2,1,0,0
1021001311,102100131101,1,1,28,1,4,2,1
1021001311,102100131102,0,2,22,1,4,2,1
1021001311,102100131103,1,3,5,NA,4,2,1
1021001311,102100131104,0,3,1,NA,4,2,1
1021001402,102100140201,0,1,80,2,4,0,0
1021001402,102100140202,0,4,25,3,4,0,0
102100140202,1021001402020,0,5,24,1,2,0,0
102100140202,10210014020201,1,1,28,1,2,0,0
1021001402,102100140203,0,4,16,3,4,0,0
1021001402,102100140204,1,4,20,3,4,0,0
102100140204,1021001402040,0,2,22,1,4,2,1
102100140204,10210014020401,1,1,32,1,4,2,1
102100140204,10210014020403,0,3,3,NA,4,2,1
102100140204,10210014020404,0,5,5,NA,4,2,1
1021001403,102100140301,1,1,42,1,3,1,1
1021001403,102100140302,0,2,20,1,3,1,1
1021001403,102100140303,0,3,0,NA,3,1,1
1021001405,102100140501,1,1,31,1,6,4,1
1021001405,102100140502,0,2,25,1,6,4,1
1021001405,102100140503,0,3,8,NA,6,4,1
1021001405,102100140504,0,3,7,NA,6,4,1
1021001405,102100140505,1,3,5,NA,6,4,1
1021001405,102100140506,1,3,0,NA,6,4,1
1021001406,102100140601,1,1,45,1,3,2,0
1021001406,102100140602,1,3,14,3,3,2,0
1021001406,102100140603,0,3,6,NA,3,2,0
1021001407,102100140701,1,1,35,1,5,3,0
1021001407,102100140702,0,2,31,1,5,3,0
1021001407,102100140703,1,3,11,3,5,3,0
1021001407,102100140704,0,3,10,3,5,3,0
1021001407,102100140705,1,3,8,NA,5,3,0
1021001408,102100140801,0,1,35,1,7,3,0
1021001408,102100140802,1,5,21,3,7,3,0
1021001408,102100140803,0,3,10,3,7,3,0
1021001408,102100140804,1,3,8,NA,7,3,0
1021001408,102100140805,1,3,12,3,7,3,0
1021001408,102100140806,1,2,NA,NA,7,3,0
1021001408,102100140807,0,5,NA,NA,7,3,0
1021001501,102100150101,1,1,28,2,4,0,0
1021001501,102100150102,1,5,24,3,4,0,0
102100150102,1021001501020,1,1,26,3,1,0,0
1021001501,102100150103,1,5,23,1,4,0,0
1021001501,102100150104,1,5,NA,NA,4,0,0
1021001504,102100150401,1,1,69,1,8,3,1
1021001504,102100150402,0,2,53,1,8,3,1
1021001504,102100150403,1,3,32,3,8,3,1
1021001504,102100150404,0,5,32,3,8,3,1
1021001504,102100150405,0,5,18,3,8,3,1
1021001504,102100150406,1,5,9,NA,8,3,1
102100150406,1021001504060,0,1,23,1,2,0,0
102100150406,10210015040602,1,2,NA,NA,2,0,0
1021001504,102100150407,1,5,12,3,8,3,1
1021001504,102100150408,1,4,0,NA,8,3,1
1021001505,102100150501,0,1,46,2,9,1,1
1021001505,102100150502,1,3,25,3,9,1,1
1021001505,102100150503,0,5,21,3,9,1,1
1021001505,102100150504,1,5,26,1,9,1,1
1021001505,102100150505,0,5,1,NA,9,1,1
1021001505,102100150506,1,5,NA,NA,9,1,1
1021001505,102100150507,0,5,NA,NA,9,1,1
1021001505,102100150508,1,5,NA,NA,9,1,1
1021001505,102100150509,1,5,NA,NA,9,1,1
1021001507,102100150701,0,1,49,2,9,4,0
1021001507,102100150702,0,3,31,2,9,4,0
1021001507,102100150703,1,3,19,3,9,4,0
1021001507,102100150704,1,3,13,3,9,4,0
1021001507,102100150705,0,3,10,3,9,4,0
1021001507,102100150706,0,3,7,NA,9,4,0
1021001507,102100150707,1,4,5,NA,9,4,0
1021001507,102100150708,0,3,NA,NA,9,4,0
1021001507,102100150709,0,4,NA,NA,9,4,0
1021001512,102100151201,0,1,35,2,4,0,0
1021001512,102100151202,0,3,19,3,4,0,0
1021001512,102100151203,0,5,25,2,4,0,0
1021001512,102100151204,0,5,23,3,4,0,0
1021001606,102100160601,1,1,41,1,5,3,1
1021001606,102100160602,0,2,32,1,5,3,1
1021001606,102100160603,1,3,10,3,5,3,1
1021001606,102100160604,1,3,7,NA,5,3,1
1021001606,102100160605,0,3,3,NA,5,3,1
1021001607,102100160701,1,1,60,1,9,2,1
1021001607,102100160702,0,2,53,1,9,2,1
